model,param,R2,RMSE
STSC,wheat_frac,-0.6013198564974302,0.20253099866874652
STSC,rice_frac,-0.6315659455331923,0.17032870654216473
STSC,maize_frac,-0.5911663200779842,0.1695912442985149
STSC,soy_frac,-0.48396388913788924,0.12951899392794403
EVI,wheat_fraction,-0.07692933213045472,0.24324857781384793
EVI,rice_fraction,-1.0485591949651218,0.37109807871127665
