row,col,EVI_1,EVI_2,EVI_3,EVI_4,EVI_5,EVI_6,EVI_7,EVI_8,EVI_9,EVI_10,EVI_11,EVI_12,EVI_13,EVI_14,EVI_15,EVI_16,EVI_17,EVI_18,EVI_19,EVI_20,EVI_21,EVI_22,EVI_23,EVI_24,EVI_25,EVI_26,EVI_27,EVI_28,EVI_29,EVI_30,EVI_31,EVI_32,EVI_33,EVI_34,EVI_35,EVI_36,EVI_37,EVI_38,EVI_39,EVI_40,EVI_41,EVI_42,EVI_43,EVI_44,EVI_45,EVI_46
11,36,-0.223232,-0.243260,-0.263288,-0.240755,-0.218223,-0.276979,-0.165029,-0.186361,-0.207693,-0.229024,-0.250356,-0.352935,-0.257365,-0.159341,-0.138910,-0.203675,-0.213556,-0.223437,-0.225955,-0.107220,-0.306109,-0.371252,-0.436394,-0.452522,-0.468650,-0.333118,-0.197585,-0.275550,-0.148913,-0.022276,-0.184007,-0.127889,-0.178663,-0.160701,-0.142739,-0.171155,-0.190865,-0.156810,-0.322928,-0.233858,-0.204331,-0.174804,-0.254430,-0.184192,-0.252859,-0.233563
11,37,-0.223232,-0.243260,-0.263288,-0.240755,-0.218223,-0.276979,-0.165029,-0.186361,-0.207693,-0.229024,-0.250356,-0.352935,-0.257365,-0.159341,-0.138910,-0.203675,-0.213556,-0.223437,-0.225955,-0.107220,-0.306109,-0.371252,-0.436394,-0.452522,-0.468650,-0.333118,-0.197585,-0.275550,-0.148913,-0.022276,-0.184007,-0.127889,-0.178663,-0.160701,-0.142739,-0.171155,-0.190865,-0.156810,-0.322928,-0.233858,-0.204331,-0.174804,-0.254430,-0.184192,-0.252859,-0.233563
12,2,-0.090576,-0.090576,-0.090576,-0.084210,-0.077845,-0.071109,-0.019557,0.016174,-0.001475,0.082513,0.166502,0.359710,0.419049,0.370309,0.440615,0.443153,0.497223,0.496387,0.468936,0.092224,-0.030064,-0.049911,-0.069758,0.037860,0.145479,0.321506,0.497534,0.534256,0.628632,0.637472,0.668979,0.571587,0.550393,0.529199,0.505697,0.387249,0.360703,0.258473,0.156244,0.111593,0.066941,0.022290,-0.022361,-0.067013,-0.028336,-0.023260
12,3,-0.090576,-0.090576,-0.090576,-0.084210,-0.077845,-0.071109,-0.019557,0.016174,-0.001475,0.082513,0.166502,0.359710,0.419049,0.370309,0.440615,0.443153,0.497223,0.496387,0.468936,0.092224,-0.030064,-0.049911,-0.069758,0.037860,0.145479,0.321506,0.497534,0.534256,0.628632,0.637472,0.668979,0.571587,0.550393,0.529199,0.505697,0.387249,0.360703,0.258473,0.156244,0.111593,0.066941,0.022290,-0.022361,-0.067013,-0.028336,-0.023260
12,38,-0.260049,-0.329150,-0.263288,-0.248887,-0.234487,-0.238387,-0.269822,-0.342666,-0.415510,-0.325550,-0.235590,-0.333389,-0.269003,-0.309906,-0.379668,-0.321317,-0.395757,-0.204206,-0.255480,-0.272449,-0.403631,-0.397407,-0.391184,-0.470220,-0.549256,-0.454587,-0.359918,-0.351483,-0.343958,-0.191593,-0.368830,-0.276648,-0.254849,-0.233051,-0.211252,-0.193759,-0.176267,-0.158774,-0.191068,-0.223362,-0.229791,-0.236219,-0.247624,-0.282709,-0.261107,-0.273514
12,39,-0.260049,-0.329150,-0.263288,-0.248887,-0.234487,-0.238387,-0.269822,-0.342666,-0.415510,-0.325550,-0.235590,-0.333389,-0.269003,-0.309906,-0.379668,-0.321317,-0.395757,-0.204206,-0.255480,-0.272449,-0.403631,-0.397407,-0.391184,-0.470220,-0.549256,-0.454587,-0.359918,-0.351483,-0.343958,-0.191593,-0.368830,-0.276648,-0.254849,-0.233051,-0.211252,-0.193759,-0.176267,-0.158774,-0.191068,-0.223362,-0.229791,-0.236219,-0.247624,-0.282709,-0.261107,-0.273514
12,40,-0.287421,-0.276629,-0.265837,-0.255045,-0.244253,-0.257365,-0.269822,-0.334001,-0.398179,-0.328882,-0.259584,-0.317859,-0.343990,-0.309906,-0.177744,-0.210207,-0.249963,-0.204206,-0.255480,-0.213214,-0.301526,-0.346355,-0.391184,-0.326484,-0.261783,-0.197083,-0.132382,-0.351483,-0.091784,0.014572,-0.095636,-0.173373,-0.112698,-0.139715,-0.166733,-0.227593,-0.131676,-0.158774,-0.169560,-0.180345,-0.191131,-0.201917,-0.271308,-0.227440,-0.305852,-0.297084
13,2,-0.048865,-0.048865,-0.048865,-0.042539,-0.036213,-0.027137,0.032908,0.046494,0.038729,0.142815,0.246901,0.389872,0.430510,0.432929,0.524057,0.549839,0.571824,0.497813,0.490898,0.139122,-0.022012,0.030691,0.083394,0.136098,0.188801,0.292663,0.396526,0.485367,0.656919,0.605552,0.669945,0.670912,0.600055,0.529199,0.470071,0.394805,0.382730,0.167301,0.168296,0.137466,0.106635,0.075805,0.044975,0.014145,-0.034612,-0.082428
13,3,-0.039158,-0.039158,-0.039158,-0.015765,0.007628,0.044086,0.161595,0.116381,0.071719,0.206839,0.341958,0.434179,0.479762,0.421455,0.630398,0.521784,0.554202,0.524484,0.490898,0.161692,-0.033094,-0.041721,-0.050348,0.069227,0.188801,0.317203,0.445606,0.598618,0.693112,0.683358,0.678868,0.595438,0.590530,0.585622,0.553030,0.395527,0.388153,0.167301,0.216831,0.161157,0.105482,0.049808,-0.005867,-0.061541,-0.043605,-0.087511
13,4,0.096358,0.096358,0.096358,0.093650,0.090943,0.044086,0.237052,0.116381,0.228355,0.285156,0.341958,0.510772,0.520815,0.426353,0.630398,0.521960,0.539950,0.512950,0.529356,0.076119,-0.033094,-0.033714,-0.034334,0.077726,0.189785,0.332068,0.474352,0.558438,0.669831,0.685662,0.678868,0.674478,0.676073,0.677667,0.540712,0.411937,0.447375,0.205194,0.281799,0.221338,0.160877,0.100416,0.039955,-0.020506,-0.043605,-0.087511
13,5,0.096358,0.096358,0.096358,0.093650,0.090943,0.044086,0.237052,0.116381,0.228355,0.285156,0.341958,0.510772,0.520815,0.426353,0.630398,0.521960,0.539950,0.512950,0.529356,0.076119,-0.033094,-0.033714,-0.034334,0.077726,0.189785,0.332068,0.474352,0.558438,0.669831,0.685662,0.678868,0.674478,0.676073,0.677667,0.540712,0.411937,0.447375,0.205194,0.281799,0.221338,0.160877,0.100416,0.039955,-0.020506,-0.043605,-0.087511
14,4,0.096358,0.096358,0.096358,0.134514,0.172670,0.023633,0.158599,0.222929,0.263026,0.357639,0.452253,0.409772,0.484311,0.450596,0.658274,0.521960,0.550050,0.529766,0.529356,0.072108,-0.102362,-0.059242,-0.016121,0.098557,0.213236,0.357719,0.502202,0.589886,0.666354,0.654424,0.642494,0.715405,0.681054,0.646703,0.592412,0.419579,0.406321,0.214283,0.290430,0.187039,0.083647,-0.019744,-0.041148,-0.022661,-0.027269,-0.012536
14,5,0.198317,0.198317,0.198317,0.212969,0.227620,0.062598,0.311484,0.222929,0.278158,0.365206,0.452253,0.461703,0.544457,0.459071,0.658274,0.495185,0.561653,0.529766,0.543156,0.052585,-0.019104,-0.038422,-0.057740,0.073961,0.205661,0.353931,0.502202,0.668169,0.666354,0.837338,0.776371,0.715405,0.664384,0.613363,0.649348,0.468558,0.477810,0.301458,0.290430,0.180304,0.070178,-0.039948,-0.031304,-0.022661,-0.018991,-0.015322
14,48,-0.232916,-0.394112,-0.210013,-0.231088,-0.252164,-0.273240,-0.257837,-0.288158,-0.318480,-0.184752,-0.173266,-0.233383,-0.178424,-0.193831,-0.147010,-0.243401,-0.207687,-0.136391,-0.250929,-0.245368,-0.239807,-0.234138,-0.228469,-0.189187,-0.149905,-0.110623,-0.071341,-0.185113,-0.127500,-0.101685,-0.288613,-0.150239,-0.072040,-0.098514,-0.124987,-0.134296,-0.143605,-0.152914,-0.366695,-0.268537,-0.248158,-0.227779,-0.278389,-0.224830,-0.316851,-0.342611
14,49,-0.296177,-0.417841,-0.327484,-0.330777,-0.334069,-0.411799,-0.281320,-0.279428,-0.277536,-0.275644,-0.207214,-0.233383,-0.215380,-0.278864,-0.263462,-0.248060,-0.182755,-0.134355,-0.250929,-0.279670,-0.308412,-0.268440,-0.228469,-0.296043,-0.225085,-0.154126,-0.083167,0.124392,-0.186374,-0.154979,-0.024664,-0.170127,-0.128535,-0.126761,-0.124987,-0.235174,-0.345360,-0.211517,-0.366695,-0.307159,-0.290623,-0.274087,-0.362982,-0.224830,-0.353075,-0.309297
14,52,-0.438291,-0.438291,-0.337649,-0.271123,-0.204596,-0.216849,-0.217772,-0.197008,-0.176244,-0.162489,-0.148735,-0.254171,-0.204333,-0.216721,-0.198444,-0.180167,-0.161890,-0.130621,-0.130571,-0.241551,-0.228877,-0.226851,-0.242258,-0.217840,-0.355650,-0.208883,-0.062116,-0.064588,-0.067059,-0.069530,0.000353,-0.036992,-0.074338,-0.115563,-0.127920,-0.138680,-0.149439,-0.160198,-0.283726,-0.233188,-0.229578,-0.225968,-0.328520,-0.235824,-0.338763,-0.345796
