row,col,EVI_1,EVI_2,EVI_3,EVI_4,EVI_5,EVI_6,EVI_7,EVI_8,EVI_9,EVI_10,EVI_11,EVI_12,EVI_13,EVI_14,EVI_15,EVI_16,EVI_17,EVI_18,EVI_19,EVI_20,EVI_21,EVI_22,EVI_23,EVI_24,EVI_25,EVI_26,EVI_27,EVI_28,EVI_29,EVI_30,EVI_31,EVI_32,EVI_33,EVI_34,EVI_35,EVI_36,EVI_37,EVI_38,EVI_39,EVI_40,EVI_41,EVI_42,EVI_43,EVI_44,EVI_45,EVI_46
38,33,0.216332,0.225161,0.233990,0.198305,0.162620,0.223659,0.189816,0.217710,0.249973,0.267198,0.284422,0.485199,0.592201,0.427055,0.534980,0.368332,0.562046,0.461161,0.392381,0.243894,0.215432,0.248433,0.281433,0.274776,0.268118,0.322849,0.377580,0.412733,0.562001,0.597978,0.454287,0.461230,0.468173,0.475116,0.482059,0.265442,0.222801,0.211171,0.199541,0.198225,0.171493,0.144760,0.143045,0.175617,0.203285,0.141492
38,34,0.254309,0.236940,0.233990,0.288279,0.342569,0.223659,0.270830,0.344803,0.418776,0.404729,0.390682,0.485199,0.592201,0.515426,0.534980,0.657007,0.562046,0.491049,0.452538,0.265776,0.204085,0.204970,0.205854,0.236986,0.268118,0.384692,0.501266,0.427044,0.562001,0.597978,0.573196,0.548414,0.523632,0.498850,0.474068,0.265442,0.222801,0.247156,0.199541,0.221022,0.228613,0.236203,0.242212,0.316989,0.203285,0.293829
38,35,0.320798,0.287072,0.339484,0.330765,0.322046,0.312500,0.319740,0.339551,0.359362,0.405021,0.450681,0.528858,0.592201,0.607683,0.686543,0.657007,0.665139,0.522698,0.452538,0.271231,0.196415,0.194492,0.192570,0.221593,0.250617,0.396085,0.541554,0.579779,0.637931,0.612831,0.516818,0.420806,0.438560,0.456314,0.474068,0.313671,0.153274,0.162704,0.172134,0.231265,0.255414,0.279563,0.312170,0.316989,0.267747,0.372996
38,36,0.307819,0.307819,0.307819,0.314932,0.322046,0.293621,0.304509,0.331935,0.359362,0.389969,0.420576,0.528858,0.647456,0.607683,0.674038,0.644846,0.653422,0.453672,0.450418,0.283946,0.218729,0.260984,0.303239,0.227475,0.244989,0.402299,0.559608,0.579779,0.637931,0.612831,0.492832,0.372834,0.396728,0.420622,0.444516,0.298895,0.153274,0.162704,0.172134,0.254675,0.273547,0.292420,0.298660,0.340025,0.269340,0.372996
38,37,0.258160,0.258160,0.258160,0.259132,0.260104,0.233962,0.279388,0.307613,0.335838,0.328972,0.322106,0.480211,0.647456,0.563192,0.683576,0.644846,0.520351,0.453672,0.450418,0.274053,0.233129,0.268184,0.303239,0.229819,0.273170,0.376575,0.479979,0.530469,0.580960,0.612831,0.569276,0.525722,0.482167,0.438613,0.395058,0.232745,0.199353,0.207166,0.195901,0.254675,0.239261,0.223847,0.233573,0.229447,0.269340,0.286611
38,38,0.278189,0.278189,0.278189,0.276176,0.274163,0.294996,0.279388,0.284499,0.289609,0.305858,0.322106,0.480211,0.647456,0.563192,0.677538,0.613984,0.515901,0.446717,0.419595,0.261942,0.208560,0.236809,0.265059,0.229819,0.273170,0.392089,0.511007,0.542711,0.574415,0.577745,0.578143,0.578541,0.517380,0.456219,0.395058,0.213445,0.199353,0.207166,0.201022,0.245251,0.268872,0.292494,0.294161,0.285454,0.281864,0.284340
38,39,0.368711,0.367457,0.366203,0.360004,0.353805,0.327016,0.392684,0.398946,0.394823,0.392301,0.389778,0.590206,0.703053,0.563192,0.677538,0.613984,0.562827,0.453198,0.419595,0.246128,0.200446,0.232752,0.265059,0.214384,0.238202,0.374605,0.511007,0.577407,0.574415,0.577745,0.554681,0.531618,0.508554,0.485490,0.462427,0.183708,0.146416,0.214616,0.201022,0.267429,0.279961,0.292494,0.314875,0.285454,0.334624,0.368942
38,40,0.368711,0.367457,0.366203,0.360004,0.353805,0.327016,0.392684,0.398946,0.394823,0.392301,0.389778,0.590206,0.703053,0.563192,0.677538,0.613984,0.562827,0.453198,0.419595,0.246128,0.200446,0.232752,0.265059,0.214384,0.238202,0.374605,0.511007,0.577407,0.574415,0.577745,0.554681,0.531618,0.508554,0.485490,0.462427,0.183708,0.146416,0.214616,0.201022,0.267429,0.279961,0.292494,0.314875,0.285454,0.334624,0.368942
38,41,0.368711,0.392009,0.415307,0.419893,0.424479,0.366088,0.392684,0.398946,0.445923,0.489551,0.533179,0.590206,0.703053,0.644632,0.736070,0.657491,0.540355,0.485432,0.419595,0.246128,0.181248,0.190881,0.200513,0.167058,0.220112,0.367152,0.514191,0.577407,0.574709,0.577745,0.586933,0.596121,0.551556,0.506992,0.462427,0.262627,0.255279,0.214616,0.203728,0.283268,0.290523,0.297778,0.314875,0.350341,0.334624,0.317924
38,42,0.465108,0.472300,0.479493,0.480655,0.481817,0.433441,0.501506,0.468668,0.542447,0.550490,0.558534,0.590206,0.703053,0.644632,0.736070,0.657491,0.582057,0.511829,0.430896,0.249706,0.181248,0.160461,0.139674,0.154236,0.182847,0.300428,0.418009,0.487343,0.574709,0.637835,0.640533,0.596121,0.551556,0.506992,0.462427,0.421234,0.255279,0.284423,0.223169,0.235254,0.250588,0.265922,0.264701,0.274248,0.283795,0.185055
